Geoid20,Adjacent_Geoids
371139705012046,"371139705012007, 371139705012045, 371139705012047, 371139705012004, 371139705012008, 371139705012010, 371139705012026"
370630004013018,"370630004021004, 370630004021005, 370630004013020, 370630004013017, 370630004013019, 370630004012016, 370630004012017, 370630004012018"
371139703043011,"371139703042005, 371139703042003, 371139703042002, 371139703042000, 371139703043019, 371139703043021, 371139703043005, 371139703043007, 371139703043022, 371139703043009, 371139703043008, 371139703043012, 371139703043023, 371139703043000"
370630016012009,"370630016014006, 370630016014003, 370630016014004, 370630016012007"
371139704002116,"371139704002089, 371139705012003, 371139704002117, 371139704002087, 371139705012002, 371139704002086, 371139704002115"
371139704001053,"371139704001052, 371139704001051, 371139704001050"
371139706003074,"371139706003027, 371139706003022"
371139707005011,"371139707005007, 371139707005008, 371139707005004, 371139707005017, 371139707005005"
370850714011037,"370850713013013, 370850714011038, 370850713013023, 370850714011039, 370850713013017, 370850714011040, 370850713013019, 370850714011035, 370850714011036"
371139706003039,"371139706004008, 371139706003060, 371139706003040, 371139706003064, 371139706003041, 371139706003042, 371139706003053, 371139706003059, 371139706003043, 371139706003021, 371139706003058"
370099705023005,"370099705023004, 370099705023001, 370099708023022"
370850706002037,"370850706002025, 370850706002039, 370850706002035, 370850706002038, 370850706002034, 370850706002033"
371139702003024,"371139702003006, 371139702003020, 371139702003044, 371139702003045, 371139702003018, 371139702003017"
370190205111014,"370190205111015, 370190205111007, 370190205111005"
371139702003029,"371139702003031, 371139702003028, 371139702003032, 371139702003030, 371139702002030, 371139702002028, 371139702002128"
370670039082010,"370670039082011, 370670039082013, 370670039082012, 370670039082009, 370670039082014, 370670039081008, 370670039082007, 370670039081006"
371139705022036,"371139705022040, 371139705022039, 371139705022043, 371139705022038, 371139705022044, 371139705022032, 371139706004128, 371139706004101, 371139706004105"
371139706004038,"371139706004035, 371139706004037, 371139706004034"
371139701001126,"371139701001045, 371139701001047, 371139701001097, 371139701001049, 371139701001044"
370850703004017,"370850703004029, 370850703004018, 370850703004011"
371139702002139,"371139702002028, 371139702002138, 371139702002129, 371139702002032, 371139702002140"
371139705022033,"371139705022032, 371139706004107, 371139706004105"
370850705003030,"370850705004001, 370850705003029"
371139707004036,"371139706004092, 371139707004034, 371139707004024, 371139707004035, 371139706004084, 371139707004025, 371139707004021, 371139707004020, 371139706002057"
371139702003080,"371139707005027, 371139702003082, 371139707005026, 371139702003076"
371139703042001,"371139703042014, 371139703042013, 371139703042006, 371139703042007, 371139703042015, 371139703042012, 371139703042005, 371139703042004, 371139703042003, 371139703042002, 371139703042000"
370850705004023,"370850705004028, 370850705004027, 370850705004000, 370850705004021, 370850705004022, 370850705004024, 370850705004009, 370850705004010"
371139704002001,"371139704002002, 371139704002003, 371139704002006, 371139704001000, 371139704002000"
371139705012027,"371139705012048, 371139705012026"
371139701001093,"371139701001094, 371139701001092, 371139701001087, 371139701001088"
371139704002013,"371139704002005, 371139704002012, 371139704001000"
371139701002075,"371139701002078, 371139701002077, 371139701002074, 371139701002076, 371139701002092, 371139701002079, 371139701002054, 371139701002025, 371139701002055"
371690701013031,"371690701013024, 371690701013023, 371690701013019"
371139702003068,"371139707005002, 371139702003059, 371139707005000, 371139702003062, 371139702003061, 371139707002025"
371139701001031,"371139701001028, 371139701001036, 371139701001001, 371139701001002, 371139701001000"
371139703043021,"371139703042000, 371139703041023, 371139703032022, 371139703043011, 371139703043022, 371139703032021"
371139707003005,"371139707003014, 371139706001038, 371139707003011, 371139706001040, 371139707003007, 371139706001041, 371139706001035, 371139707003006, 371139706001034, 371139707003004, 371139707003001"
371139706003012,"371139706003021, 371139706003026, 371139706003023, 371139706003073, 371139706003011, 371139706003014, 371139706003013, 371139706003010"
371139707004030,"371139707004023, 371139707004024, 371139707004004, 371139707004028"
371139706003033,"371139706003021, 371139706003029, 371139706003049, 371139706003028, 371139706003051, 371139706003025, 371139704002055, 371139704002054"
371139701002073,"371139701002081, 371139701002070, 371139701002080, 371139701002078, 371139701002072, 371139701002074, 371139701002025"
371139707001058,"371139707001056, 371139707001057, 371139707001054, 371139707001016"
370479309004029,"370479309004035, 370479309004036, 370479309004030, 370479309004034, 370479309004032, 370479309004018, 370479309004019"
371139705022059,"371139705022067, 371139705022066, 371139705022060, 371139705022063, 371139705022064, 371139705022062, 371139705022061, 371139705022051, 371139705021084, 371139705022065, 371139705021081, 371139705021062"
371139703042043,"371139706002003, 371139703042047, 371139706001000, 371139703042045, 371139703042046, 371139703042057, 371139707001000, 371139703023026, 371139703042044, 371139703023021, 371139703023022, 371139703042039, 371139703023006, 371139703023001"
371139703032000,"371139703032004, 371139704001045, 371139703032005, 371139704001046, 371139703032033, 371139703032001, 371139703032002, 371139701002093, 371139704001047, 371139704001048, 371139701002086"
371139706002025,"371139706002018, 371139706002016, 371139706002020"
371139702002076,"371139702002075, 371139702002074"
371139707005052,"371139707005028, 371139707005053, 371139707005041, 371139707005033, 371139707005054"
370319701033041,"370319701033043, 370319701033049, 370319701033040, 370319701033037"
371039201001102,"371039201001101, 371039201001103, 371039201001115, 371039201001114, 371039201001107"
371139706004068,"371139706004078, 371139706004070, 371139706004064, 371139706004077"
371139706001011,"371139706002056, 371139706001045, 371139706001038, 371139706001037, 371139706002047, 371139706001012, 371139706002048, 371139706002053, 371139706001013, 371139706001008"
370210031052010,"370210031052019, 370210031052020, 370210031052021, 370210031052009"
370119302003026,"370119302003020, 370119302003029, 370119302003104, 370119302003025"
371139706004116,"371139706004111, 371139706004118, 371139706004099, 371139706004101, 371139706004117"
371139707004044,371139707004043
371139706004055,"371139706004024, 371139706004056, 371139706004051, 371139706004052, 371139706004008"
371139705021053,"371139705021062, 371139705021068, 371139705021061, 371139705021055, 371139705021057, 371139705021056, 371139705021054, 371139705021058, 371139705021050, 370999509002099, 370999509002096, 371139705021043"
371139702003075,"371139702003008, 371139702003074, 371139702002151, 371139702002028, 371139702002012"
371139703032016,"371139703032023, 371139703032024, 371139703032018, 371139703032019, 371139703032032, 371139703032017, 371139703032031, 371139703032015, 371139703032014, 371139703032012"
371139706004089,"371139707005028, 371139706004088, 371139706004090, 371139706004091, 371139707004043"
370850714022020,370850714022018
371139705022055,"371139705022007, 371139705022016, 371139705022008, 371139705022056, 371139705022004, 371139705022057, 371139705022058, 371139705011068, 371139705011029"
371139702002051,"371139702002102, 371139702002050, 371139702002077, 371139702002052, 371139702002080"
371139705022051,"371139705022066, 371139705022050, 371139705022059, 371139705022024, 371139705022053, 371139705022052, 371139705022065, 371139705022054, 371139705022048, 371139705022049, 371139705022022"
371139701002092,"371139701002075, 371139701002074, 371139701002076, 371139701002054, 371139701002053, 371139701002025"
371139707004039,"371139707004043, 371139707004040, 371139707004041, 371139707004013, 371139707004034, 371139707004023, 371139707004024, 371139707004004"
371139702001062,"371139702001042, 371139702001074, 371139702001034, 371139702001041"
370850714022012,"370850714022003, 370850714022008, 370850714022010"
371139706004081,"371139706004095, 371139706004096, 371139706004097, 371139706004080, 371139706004098, 371139706004088, 371139706004079, 371139706004082, 371139706004091"
370839307021035,"370839307021033, 370839307021036, 370839307021025, 370839307021026, 370839307021028"
371139707001042,"371139707002001, 371139707002013, 371139707001055, 371139707001069, 371139707001041, 371139707001043, 371139707001052, 371139707001021, 371139707001044, 371139707001018, 371139707001020"
371139702001011,"371139702001016, 371139702001009, 371139702001001, 371139702001000"
371139707003015,371139707003014
370850708023020,"370850708023021, 370850708023017, 370850708023016, 370850708023015"
371139701002077,"371139701002082, 371139701002081, 371139703031000, 371139701002080, 371139701002078, 371139701002075, 371139702001017, 371139701002079, 371139701002055"
371139707004017,"371139707004018, 371139707004019, 371139707004016, 371139707003017, 371139707004014"
371910011041010,"371910011041012, 371910011041011, 371910011041009"
371139703021004,"371139703021013, 371139703021036, 371139703021027, 371139703021005, 371139703021003, 371139703021008, 371139703021002, 371139703021001"
371139705011058,"371139705011035, 371139706004043, 371139706004040"
371139706004115,"371139706004113, 371139706004111"
371910004023022,"371910004023028, 371910004023025, 371910004023024, 371910006031007, 371910004023023, 371910006031024, 371910006031009, 371910004023021, 371910004023020, 371910004023026, 371910004013015, 371910004013008, 371910004013009"
371139705011025,"371139705022004, 371139705022058, 371139705022003, 371139705022002, 371139705011067, 371139705011047, 371139705011048, 371139705011049, 371139705011068, 371139705011022, 371139705011027, 371139705011033, 371139705011028, 371139705011029, 371139705011026, 371139705011023, 371139705011024, 371139705011008"
371139705021023,"371139705021025, 371139705021026, 371139705021024, 371139705021019, 371139705021013, 371139705021011, 370999509002088"
370839301004028,"370839301004033, 370839301004027"
371139702001050,"371139702001042, 371139702001053, 371139702001055"
371139703021001,"371139703021005, 371139703021004, 371139703021003, 371139703021002, 371139703031010, 371139703021000, 371139703031009"
370119303011012,"370119303011010, 370119303011013, 370119301002028, 370119301002030, 370119303011001, 370119301002012"
371139706004042,"371139705011035, 371139705011046, 371139706004041"
371139705022046,"371139705022045, 371139705022037, 371139705022047, 371139705022031, 371139705022032, 371139705022022"
370839309011027,"370839309011026, 370839309011025, 370839309011044, 370839309011007, 370839309011006, 370839309011004"
371139706004040,"371139706004046, 371139706004034, 371139706004047, 371139706004044, 371139706004045, 371139705011035, 371139706004043, 371139705011058, 371139706004041, 371139706004006, 371139706004004, 371139706004008"
370710312022003,"370710312021000, 370710312022004, 370710312022001, 370710312041004, 370710310042013"
371139706004006,"371139706004040, 371139706004041, 371139706004007, 371139706004004, 371139706004005, 371139706004008, 371139706004002, 371139706003060"
370839305031007,"370839305031023, 370839305031009, 370839305031008, 370839305031005, 370839305031002, 370839305031003, 370839305031024, 370839305031006, 370839305031000"
371139706004024,"371139706004055, 371139706004051, 371139706004054, 371139706004052, 371139706004008"
371139702001022,"371139702001091, 371139702001094, 371139702001023, 371139702001088, 371139702001089, 371139702001020"
371139701001035,"371139701002003, 371139701002002, 371139701002004, 371139701001032, 371139701001129, 371139701001028"
371139704001040,"371139704001016, 371139701002042, 371139704001041, 371139704001021, 371139704001039, 371139704001025, 371139701002010"
371139706001041,"371139706001040, 371139707003005, 371139706001035"
371139702003079,"371139702003078, 371139702003076, 371139702003077, 371139702003006"
370839305013022,"370839305013021, 370839305013011, 370839305013012, 370839305013023, 370839305013007, 370839305013005, 370839305013004, 370839305013002"
371139701002026,"371139701002070, 371139701002072, 371139701002071, 371139701002027, 371139701002030, 371139701002028, 371139701002025, 371139701002029, 371139701002018, 371139701002013"
370839303005004,"370839303005003, 370839303005005, 370839303005016, 370839303005010"
371139706001026,"371139706001025, 371139706001044, 371139706001012, 371139706001028, 371139706001027, 371139707003003, 371139707003000, 371139706001013, 371139707002023, 371139706001030, 371139706001029, 371139707002024, 371139706001014"
371139705021071,"371139705021065, 371139705021072, 371139705021062, 371139705022030, 371139705022007, 371139705022006"
370839307023023,"370839307023045, 370839307023029, 370839307023025, 370839307023022, 370839307023024, 370839307023007, 370839307023008"
