,CountyID,Latitude,Longitude,AdjacentCounties,Population,Boundaries
0,37069,36.0827431347354,-78.2856628978804,"[37101, 37083, 37127, 37185, 37181, 37183, 37077]",60619.0,"[0, 0, 48241, 41636, 27126, 39548, 17891]"
1,37031,34.8640108065826,-76.5331895691608,"[37049, 37095, 37137, 37103, 37133]",66469.0,"[56406, 36655, 47332, 12517, 31508]"
2,37057,35.793126617468,-80.2126413869722,"[37123, 37067, 37081, 37059, 37167, 37159, 37151]",162878.0,"[10532, 36287, 10056, 49119, 0, 44254, 46097]"
3,37163,34.9913449829825,-78.3713028561891,"[37101, 37051, 37061, 37191, 37141, 37085, 37017]",63431.0,"[24910, 73585, 61563, 18313, 23178, 13303, 72402]"
4,37101,35.5175027561636,-78.3657091893602,"[37069, 37163, 37127, 37191, 37195, 37183, 37085]",168878.0,"[0, 24910, 17282, 50452, 23695, 53481, 33197]"
5,37027,35.9529324437464,-81.5464571026169,"[37023, 37035, 37189, 37011, 37003, 37193]",83029.0,"[56727, 5316, 24183, 22937, 23978, 31795]"
6,37153,35.0058656691904,-79.7477952017186,"[37123, 37167, 37007, 37125, 37093, 37165]",46639.0,"[46622, 0, 61086, 27822, 0, 47261]"
7,37123,35.3323917417116,-79.9054158517481,"[37057, 37153, 37167, 37007, 37125, 37159, 37151]",27798.0,"[10532, 46622, 51391, 0, 45228, 0, 27000]"
8,37179,34.9883268230521,-80.5307993570583,"[37119, 37167, 37007, 37025]",201292.0,"[37617, 28724, 42583, 4915]"
9,37051,35.0485125635971,-78.827356907629,"[37163, 37155, 37125, 37093, 37085, 37017]",319431.0,"[73585, 19733, 2205, 29341, 53504, 37903]"
10,37023,35.7494851628644,-81.7045396433743,"[37027, 37035, 37161, 37011, 37045, 37109, 37111]",90912.0,"[56727, 27073, 20941, 16890, 18944, 573, 55075]"
11,37097,35.8067866811217,-80.8735210752122,"[37119, 37059, 37035, 37159, 37025, 37197, 37109, 37003, 37193]",159437.0,"[15993, 22067, 38414, 39602, 4440, 17045, 10596, 33303, 13444]"
12,37063,36.0358993004895,-78.8763329411773,"[37037, 37135, 37145, 37183, 37077]",267587.0,"[9996, 42227, 13424, 41484, 24746]"
13,37079,35.4853897926696,-77.6758482680973,"[37107, 37147, 37191, 37195]",21362.0,"[40193, 44270, 25122, 14095]"
14,37143,36.1771645070613,-76.407557745425,"[37139, 37041, 37177, 37073, 37187]",13453.0,"[50062, 51573, 18793, 10059, 3592]"
15,37083,36.2574816281918,-77.6516126552953,"[37069, 37127, 37185, 37131, 37065, 37117, 37015]",54691.0,"[0, 50435, 36512, 91063, 58939, 10348, 24297]"
16,37037,35.7026080690693,-79.2554388317116,"[37063, 37001, 37135, 37125, 37151, 37105, 37183, 37085]",63505.0,"[9996, 32047, 21716, 18691, 36453, 58835, 37777, 8541]"
17,37171,36.4146808354453,-80.687475429955,"[37067, 37005, 37169, 37197, 37193]",73673.0,"[2270, 22266, 32100, 54151, 24034]"
18,37155,34.6399397874443,-79.1035441993377,"[37051, 37047, 37093, 37017, 37165]",134168.0,"[19733, 50042, 34006, 56916, 33313]"
19,37121,36.0132465950551,-82.1633535351185,"[37011, 37199, 37111]",15579.0,"[26867, 75460, 23543]"
20,37013,35.4857658121009,-76.8450893595466,"[37147, 37117, 37049, 37095, 37187, 37137]",47759.0,"[67806, 33502, 32587, 67521, 18739, 47523]"
21,37127,35.9671354528894,-77.9866765904094,"[37069, 37101, 37083, 37185, 37195, 37065, 37183]",95840.0,"[48241, 17282, 50435, 0, 38529, 34193, 0]"
22,37067,36.130485007477,-80.2563928031065,"[37057, 37171, 37081, 37059, 37169, 37197, 37157]",350670.0,"[36287, 2270, 27414, 17834, 37428, 28788, 0]"
23,37107,35.2390936529713,-77.6413389694101,"[37079, 37061, 37147, 37191, 37049, 37103]",59495.0,"[40193, 23446, 18512, 21915, 21793, 41138]"
24,37119,35.2466116639874,-80.8327529240387,"[37179, 37097, 37025, 37109, 37071]",919628.0,"[37617, 15993, 43885, 10813, 44802]"
25,37089,35.3362604002828,-82.4799267913278,"[37175, 37161, 37087, 37021, 37149]",106740.0,"[38423, 9310, 88, 66796, 28947]"
26,37081,36.0794252334795,-79.7890039666913,"[37057, 37067, 37001, 37169, 37151, 37157]",488406.0,"[10056, 27414, 37960, 0, 45619, 45282]"
27,37061,34.9361543608338,-77.9328870940824,"[37163, 37107, 37191, 37141, 37103, 37133]",58505.0,"[61563, 23446, 37430, 51198, 6404, 29247]"
28,37147,35.5934257228577,-77.3745893107613,"[37079, 37013, 37107, 37195, 37065, 37117, 37049]",168148.0,"[44270, 67806, 18512, 4510, 36038, 23187, 30415]"
29,37191,35.363681948323,-78.0042237229681,"[37163, 37101, 37079, 37107, 37061, 37195]",122623.0,"[18313, 50452, 25122, 21915, 37430, 22912]"
30,37185,36.3965457228728,-78.1068934336766,"[37069, 37083, 37127, 37181, 37131]",20972.0,"[41636, 36512, 0, 31961, 4203]"
31,37115,35.8580792164885,-82.705840694813,"[37087, 37021, 37199]",20764.0,"[20901, 60280, 26830]"
32,37113,35.1503663111387,-83.4219850091408,"[37043, 37039, 37173, 37075, 37099]",33922.0,"[48745, 15731, 35484, 4161, 61312]"
33,37175,35.2021069388138,-82.7983992382932,"[37089, 37087, 37099]",33090.0,"[38423, 26063, 43782]"
34,37181,36.3646655915071,-78.4083535090986,"[37069, 37185, 37077]",45422.0,"[27126, 31961, 47759]"
35,37059,35.9291301600006,-80.5445978809961,"[37057, 37097, 37067, 37159, 37197]",41240.0,"[49119, 22067, 17834, 39454, 17747]"
36,37195,35.7050368778194,-77.9186545152645,"[37101, 37079, 37127, 37147, 37191, 37065]",81234.0,"[23695, 14095, 38529, 4510, 22912, 27524]"
37,37001,36.0439183695083,-79.3994603955556,"[37037, 37081, 37135, 37151, 37033, 37157]",151131.0,"[32047, 37960, 41336, 6238, 24759, 804]"
38,37139,36.2648321555222,-76.2488745263653,"[37143, 37177, 37073, 37029]",40661.0,"[50062, 13313, 15257, 84323]"
39,37135,36.0612041116408,-79.1205758845175,"[37063, 37037, 37001, 37145, 37033]",133801.0,"[42227, 21716, 41336, 18249, 9282]"
40,37131,36.417680113353,-77.396609833034,"[37083, 37185, 37091, 37015]",22099.0,"[91063, 4203, 56263, 16762]"
41,37167,35.3119392515226,-80.2509719820774,"[37057, 37153, 37123, 37179, 37007, 37159, 37025]",60585.0,"[0, 0, 51391, 28724, 35481, 10248, 40746]"
42,37007,34.9737752116111,-80.1026924558682,"[37153, 37123, 37179, 37167]",26948.0,"[61086, 0, 42583, 35481]"
43,37053,36.3671006994469,-75.9366032413315,"[37055, 37177, 37029]",23547.0,"[36911, 9241, 83597]"
44,37035,35.6626291822845,-81.2144682216796,"[37027, 37023, 37097, 37109, 37003]",154358.0,"[5316, 27073, 38414, 52194, 26819]"
45,37043,35.0572267436131,-83.7502093072275,"[37113, 37039]",10587.0,"[48745, 39629]"
46,37189,36.2311025050101,-81.6963305080294,"[37027, 37011, 37009, 37193]",51079.0,"[24183, 29537, 30036, 18108]"
47,37161,35.4022160727671,-81.9200416828913,"[37023, 37089, 37021, 37045, 37149, 37111]",67810.0,"[20941, 9310, 15440, 45248, 49942, 37847]"
48,37019,34.0389101732197,-78.2273700923413,"[37047, 37129, 37141]",107431.0,"[104957, 74600, 20009]"
49,37125,35.3106387315312,-79.4812071348405,"[37153, 37123, 37051, 37037, 37093, 37151, 37105, 37085, 37165]",88247.0,"[27822, 45228, 2205, 18691, 55108, 19366, 36990, 21275, 0]"
50,37047,34.2654298955804,-78.6550529893897,"[37155, 37019, 37141, 37017]",58098.0,"[50042, 104957, 13773, 64826]"
51,37005,36.4913634948429,-81.12717498146,"[37171, 37009, 37193]",11155.0,"[22266, 30412, 39929]"
52,37041,36.1264819330725,-76.6020765572565,"[37143, 37091, 37015, 37073, 37187]",14793.0,"[51573, 6307, 34756, 20391, 20326]"
53,37065,35.912909310672,-77.5970646900013,"[37083, 37127, 37147, 37195, 37117]",56552.0,"[58939, 34193, 36038, 27524, 22587]"
54,37159,35.639607069119,-80.5245807043125,"[37057, 37123, 37097, 37059, 37167, 37025]",138428.0,"[44254, 0, 39602, 39454, 10248, 40100]"
55,37025,35.3868369572942,-80.5520218113775,"[37179, 37097, 37119, 37167, 37159]",178011.0,"[4915, 4440, 43885, 40746, 40100]"
56,37145,36.3900671972464,-78.9717204696974,"[37063, 37135, 37033, 37077]",39464.0,"[13424, 18249, 33281, 33946]"
57,37117,35.841612874372,-77.1068652084243,"[37083, 37013, 37147, 37065, 37015, 37187]",24505.0,"[10348, 33502, 23187, 22587, 110405, 25718]"
58,37091,36.3586023868928,-76.9806029433417,"[37131, 37041, 37015, 37073]",24669.0,"[56263, 6307, 45346, 47706]"
59,37055,35.6614803544026,-75.6868232403844,"[37053, 37177, 37095]",33920.0,"[36911, 49589, 75060]"
60,37093,35.0172945001232,-79.2370955509145,"[37153, 37051, 37155, 37125, 37165]",46952.0,"[0, 29341, 34006, 55108, 40844]"
61,37015,36.0655504564496,-76.9665076665134,"[37083, 37131, 37041, 37117, 37091, 37187]",21282.0,"[24297, 16762, 34756, 110405, 45346, 20749]"
62,37129,34.1811363720428,-77.8656981114487,"[37019, 37141]",202667.0,"[74600, 58010]"
