County,neighbors,boundary2
"37069","37101, 37083, 37127, 37185, 37181, 37183, 37077","0,0,48241,41636,27126,39548,17891"
"37031","37049, 37095, 37137, 37103, 37133","56406,36655,47332,12517,31508"
"37057","37123, 37067, 37081, 37059, 37167, 37159, 37151","10532,36287,10056,49119,0,44254,46097"
"37163","37101, 37051, 37061, 37191, 37141, 37085, 37017","24910,73585,61563,18313,23178,13303,72402"
"37101","37069, 37163, 37127, 37191, 37195, 37183, 37085","0,24910,17282,50452,23695,53481,33197"
"37027","37023, 37035, 37189, 37011, 37003, 37193","56727,5316,24183,22937,23978,31795"
"37153","37123, 37167, 37007, 37125, 37093, 37165","46622,0,61086,27822,0,47261"
"37123","37057, 37153, 37167, 37007, 37125, 37159, 37151","10532,46622,51391,0,45228,0,27000"
"37179","37119, 37167, 37007, 37025","37617,28724,42583,4915"
"37051","37163, 37155, 37125, 37093, 37085, 37017","73585,19733,2205,29341,53504,37903"
"37023","37027, 37035, 37161, 37011, 37045, 37109, 37111","56727,27073,20941,16890,18944,573,55075"
"37097","37119, 37059, 37035, 37159, 37025, 37197, 37109, 37003, 37193","15993,22067,38414,39602,4440,17045,10596,33303,13444"
"37063","37037, 37135, 37145, 37183, 37077","9996,42227,13424,41484,24746"
"37079","37107, 37147, 37191, 37195","40193,44270,25122,14095"
"37143","37139, 37041, 37177, 37073, 37187","50062,51573,18793,10059,3592"
"37083","37069, 37127, 37185, 37131, 37065, 37117, 37015","0,50435,36512,91063,58939,10348,24297"
"37037","37063, 37001, 37135, 37125, 37151, 37105, 37183, 37085","9996,32047,21716,18691,36453,58835,37777,8541"
"37171","37067, 37005, 37169, 37197, 37193","2270,22266,32100,54151,24034"
"37155","37051, 37047, 37093, 37017, 37165","19733,50042,34006,56916,33313"
"37121","37011, 37199, 37111","26867,75460,23543"
"37013","37147, 37117, 37049, 37095, 37187, 37137","67806,33502,32587,67521,18739,47523"
"37127","37069, 37101, 37083, 37185, 37195, 37065, 37183","48241,17282,50435,0,38529,34193,0"
"37067","37057, 37171, 37081, 37059, 37169, 37197, 37157","36287,2270,27414,17834,37428,28788,0"
"37107","37079, 37061, 37147, 37191, 37049, 37103","40193,23446,18512,21915,21793,41138"
"37119","37179, 37097, 37025, 37109, 37071","37617,15993,43885,10813,44802"
"37089","37175, 37161, 37087, 37021, 37149","38423,9310,88,66796,28947"
"37081","37057, 37067, 37001, 37169, 37151, 37157","10056,27414,37960,0,45619,45282"
"37061","37163, 37107, 37191, 37141, 37103, 37133","61563,23446,37430,51198,6404,29247"
"37147","37079, 37013, 37107, 37195, 37065, 37117, 37049","44270,67806,18512,4510,36038,23187,30415"
"37191","37163, 37101, 37079, 37107, 37061, 37195","18313,50452,25122,21915,37430,22912"
"37185","37069, 37083, 37127, 37181, 37131","41636,36512,0,31961,4203"
"37115","37087, 37021, 37199","20901,60280,26830"
"37113","37043, 37039, 37173, 37075, 37099","48745,15731,35484,4161,61312"
"37175","37089, 37087, 37099","38423,26063,43782"
"37181","37069, 37185, 37077","27126,31961,47759"
"37059","37057, 37097, 37067, 37159, 37197","49119,22067,17834,39454,17747"
"37195","37101, 37079, 37127, 37147, 37191, 37065","23695,14095,38529,4510,22912,27524"
"37001","37037, 37081, 37135, 37151, 37033, 37157","32047,37960,41336,6238,24759,804"
"37139","37143, 37177, 37073, 37029","50062,13313,15257,84323"
"37135","37063, 37037, 37001, 37145, 37033","42227,21716,41336,18249,9282"
"37131","37083, 37185, 37091, 37015","91063,4203,56263,16762"
"37167","37057, 37153, 37123, 37179, 37007, 37159, 37025","0,0,51391,28724,35481,10248,40746"
"37007","37153, 37123, 37179, 37167","61086,0,42583,35481"
"37053","37055, 37177, 37029","36911,9241,83597"
"37035","37027, 37023, 37097, 37109, 37003","5316,27073,38414,52194,26819"
